year_month,adult_icu_crci_patients,available_adult_icu_beds,ped_icu_crci_patients,available_ped_icu_beds
2020-05,196.83870967741936,545.6774193548387,0.0,36.12903225806452
2020-06,119.7,493.7,0.23333333333333334,38.96666666666667
2020-07,54.16129032258065,472.06451612903226,0.1935483870967742,42.41935483870968
2020-08,30.741935483870968,457.8709677419355,0.0,44.29032258064516
2020-09,27.666666666666668,414.2,0.2,38.733333333333334
2020-10,68.6774193548387,395.4516129032258,0.16129032258064516,39.0
2020-11,130.4,425.3,0.5,37.56666666666667
2020-12,270.7096774193548,438.8709677419355,0.9354838709677419,39.193548387096776
2021-01,397.19354838709677,387.3225806451613,1.1612903225806452,40.193548387096776
2021-02,330.7857142857143,556.0,1.0,38.5
2021-03,343.48387096774195,525.483870967742,0.22580645161290322,37.16129032258065
2021-04,684.9666666666667,428.8333333333333,6.433333333333334,36.06666666666667
2021-05,745.7741935483871,589.8064516129032,8.64516129032258,38.225806451612904
2021-06,382.26666666666665,824.1,4.1,35.1
2021-07,168.0,902.483870967742,1.096774193548387,33.67741935483871
2021-08,129.2258064516129,766.1612903225806,1.2903225806451613,27.64516129032258
2021-09,180.03333333333333,685.4,1.7,23.7
2021-10,148.93548387096774,621.9677419354839,0.7419354838709677,27.322580645161292
2021-11,134.0,620.4333333333333,1.1666666666666667,28.233333333333334
2021-12,165.61290322580646,649.5483870967741,1.2258064516129032,19.548387096774192
2022-01,494.5483870967742,519.9677419354839,6.741935483870968,39.0
2022-02,382.64285714285717,583.0714285714286,5.821428571428571,44.75
2022-03,202.32258064516128,661.5806451612904,3.193548387096774,39.483870967741936
2022-04,186.4,641.0333333333333,2.966666666666667,32.266666666666666
2022-05,167.5483870967742,631.4516129032259,1.6451612903225807,29.548387096774192
2022-06,100.6,691.5666666666667,2.033333333333333,33.4
2022-07,118.51612903225806,705.6774193548387,2.870967741935484,31.032258064516128
2022-08,138.51612903225808,683.6451612903226,3.3225806451612905,39.354838709677416
2022-09,126.93333333333334,652.4,3.0,28.566666666666666
2022-10,139.93548387096774,578.8709677419355,2.5483870967741935,24.06451612903226
2022-11,130.9,595.9,2.4,5.8
2022-12,111.12903225806451,612.7741935483871,2.838709677419355,18.838709677419356
2023-01,114.12903225806451,575.483870967742,5.032258064516129,37.645161290322584
2023-02,95.21428571428571,606.1785714285714,3.2142857142857144,42.92857142857143
2023-03,83.96774193548387,638.1290322580645,2.5161290322580645,37.29032258064516
2023-04,71.23333333333333,620.6333333333333,3.0,32.166666666666664
2023-05,47.16129032258065,630.8709677419355,2.870967741935484,32.03225806451613
2023-06,35.96666666666667,645.1333333333333,1.5666666666666667,41.733333333333334
2023-07,23.93548387096774,673.3225806451613,0.6774193548387096,46.064516129032256
2023-08,17.06451612903226,682.5483870967741,0.3870967741935484,57.96774193548387
2023-09,38.56666666666667,660.3666666666667,1.1666666666666667,57.266666666666666
2023-10,61.096774193548384,629.0322580645161,0.4838709677419355,46.193548387096776
2023-11,83.36666666666666,593.7666666666667,2.1333333333333333,35.5
2023-12,110.3225806451613,553.3548387096774,2.7096774193548385,37.32258064516129
2024-01,99.83870967741936,508.51612903225805,2.5483870967741935,48.38709677419355
2024-02,69.96551724137932,540.4827586206897,1.9655172413793103,49.48275862068966
2024-03,43.87096774193548,615.6774193548387,0.5483870967741935,44.483870967741936
2024-04,34.833333333333336,580.0333333333333,0.16666666666666666,48.766666666666666
2024-05,30.193548387096776,624.0,0.5161290322580645,53.58064516129032
2024-06,32.9,618.8333333333334,0.43333333333333335,51.46666666666667
2024-07,34.32258064516129,647.9032258064516,0.16129032258064516,58.83870967741935
2024-08,34.354838709677416,656.2903225806451,0.967741935483871,54.225806451612904
2024-09,44.06666666666667,601.6666666666666,0.9666666666666667,43.43333333333333
2024-10,50.83870967741935,571.7741935483871,0.22580645161290322,46.61290322580645
2024-11,46.5,548.3333333333334,0.8333333333333334,47.5
2024-12,40.05060488498471,537.3386484317746,2.0072791674966086,53.17158026606643
2025-01,20.712839688403758,562.1700720780773,2.211642003610475,53.2763032386846
2025-02,16.38717802803875,582.5029511671357,2.211642003610475,50.73019794344922
2025-03,18.435930509567125,581.8429448848767,2.211642003610475,48.87146413847118
2025-04,14.661948149859283,589.1486366374387,2.211642003610475,50.80500669719697
2025-05,11.3505844398776,596.6047381638704,2.211642003610475,51.994047249570045
